,Model,Features,MetaData,Accuracy,Precision,Recall,F-Score,TP,FP,TN,FN
0,LogisticRegression,TFIDF,Y,80.59,0.82,0.94,0.88,736,161,132,48
0,LogisticRegression,TFIDF,R/M,74.56,0.77,0.93,0.84,730,220,73,54
0,LogisticRegression,TFIDF,N,74.56,0.77,0.93,0.84,730,220,73,54
0,LogisticRegression,Bigrams,Y,78.46,0.78,0.97,0.86,761,209,84,23
0,LogisticRegression,Bigrams,R/M,72.05,0.76,0.9,0.82,707,224,69,77
0,LogisticRegression,Bigrams,N,72.05,0.76,0.9,0.82,707,224,69,77
0,LogisticRegression,Trigrams,Y,77.44,0.77,0.99,0.87,780,239,54,4
0,LogisticRegression,Trigrams,R/M,73.44,0.74,0.99,0.85,774,276,17,10
0,LogisticRegression,Trigrams,N,73.44,0.74,0.99,0.85,774,276,17,10
0,LogisticRegression,Word2Vec,Y,80.04,0.82,0.92,0.87,724,155,138,60
0,LogisticRegression,Word2Vec,R/M,66.85,0.86,0.65,0.74,506,79,214,278
0,LogisticRegression,Word2Vec,N,65.46,0.86,0.63,0.73,496,84,209,288
0,LogisticRegression,Doc2Vec,Y,80.78,0.83,0.93,0.88,729,152,141,55
0,LogisticRegression,Doc2Vec,R/M,78.74,0.8,0.95,0.87,744,189,104,40
0,LogisticRegression,Doc2Vec,N,76.42,0.79,0.92,0.85,724,194,99,60
0,SVC,TFIDF,Y,79.11,0.82,0.91,0.86,711,152,141,73
0,SVC,TFIDF,R/M,74.65,0.78,0.92,0.84,718,207,86,66
0,SVC,TFIDF,N,74.65,0.78,0.92,0.84,718,207,86,66
0,SVC,Bigrams,Y,76.32,0.76,1.0,0.86,783,254,39,1
0,SVC,Bigrams,R/M,72.79,0.73,1.0,0.84,784,293,0,0
0,SVC,Bigrams,N,72.79,0.73,1.0,0.84,784,293,0,0
0,SVC,Trigrams,Y,76.32,0.76,1.0,0.86,783,254,39,1
0,SVC,Trigrams,R/M,72.79,0.73,1.0,0.84,784,293,0,0
0,SVC,Trigrams,N,72.79,0.73,1.0,0.84,784,293,0,0
0,SVC,Word2Vec,Y,64.9,0.77,0.74,0.75,581,175,118,203
0,SVC,Word2Vec,R/M,64.81,0.77,0.74,0.75,583,178,115,201
0,SVC,Word2Vec,N,64.53,0.76,0.74,0.75,581,179,114,203
0,SVC,Doc2Vec,Y,80.04,0.83,0.92,0.87,720,151,142,64
0,SVC,Doc2Vec,R/M,76.51,0.77,0.97,0.86,762,231,62,22
0,SVC,Doc2Vec,N,75.3,0.77,0.93,0.84,733,215,78,51
0,GaussianNB,TFIDF,Y,63.32,0.87,0.59,0.7,460,71,222,324
0,GaussianNB,TFIDF,R/M,61.93,0.86,0.57,0.69,446,72,221,338
0,GaussianNB,TFIDF,N,61.93,0.86,0.57,0.69,446,72,221,338
0,GaussianNB,Bigrams,Y,50.42,0.79,0.44,0.57,343,93,200,441
0,GaussianNB,Bigrams,R/M,50.42,0.79,0.44,0.57,343,93,200,441
0,GaussianNB,Bigrams,N,50.42,0.79,0.44,0.57,343,93,200,441
0,GaussianNB,Trigrams,Y,30.83,0.78,0.07,0.13,54,15,278,730
0,GaussianNB,Trigrams,R/M,30.83,0.78,0.07,0.13,54,15,278,730
0,GaussianNB,Trigrams,N,30.83,0.78,0.07,0.13,54,15,278,730
0,GaussianNB,Word2Vec,Y,39.0,0.89,0.18,0.3,144,17,276,640
0,GaussianNB,Word2Vec,R/M,36.58,0.89,0.15,0.26,115,14,279,669
0,GaussianNB,Word2Vec,N,35.93,0.89,0.14,0.24,108,14,279,676
0,GaussianNB,Doc2Vec,Y,72.79,0.88,0.73,0.8,572,81,212,212
0,GaussianNB,Doc2Vec,R/M,71.22,0.88,0.71,0.79,553,79,214,231
0,GaussianNB,Doc2Vec,N,70.75,0.87,0.7,0.78,550,81,212,234
0,XGBoost,TFIDF,Y,79.11,0.82,0.91,0.86,717,158,135,67
0,XGBoost,TFIDF,R/M,72.42,0.77,0.88,0.82,690,203,90,94
0,XGBoost,TFIDF,N,72.79,0.77,0.88,0.82,692,201,92,92
0,XGBoost,Bigrams,Y,77.62,0.79,0.95,0.86,745,202,91,39
0,XGBoost,Bigrams,R/M,72.79,0.74,0.98,0.84,765,274,19,19
0,XGBoost,Bigrams,N,72.52,0.73,0.98,0.84,766,278,15,18
0,XGBoost,Trigrams,Y,77.34,0.78,0.96,0.86,755,215,78,29
0,XGBoost,Trigrams,R/M,72.7,0.73,1.0,0.84,781,291,2,3
0,XGBoost,Trigrams,N,72.7,0.73,1.0,0.84,781,291,2,3
0,XGBoost,Word2Vec,Y,77.25,0.81,0.89,0.85,701,162,131,83
0,XGBoost,Word2Vec,R/M,74.47,0.79,0.88,0.83,692,183,110,92
0,XGBoost,Word2Vec,N,71.87,0.78,0.86,0.82,677,196,97,107
0,XGBoost,Doc2Vec,Y,76.97,0.81,0.9,0.85,703,167,126,81
0,XGBoost,Doc2Vec,R/M,74.93,0.79,0.9,0.84,702,188,105,82
0,XGBoost,Doc2Vec,N,73.35,0.78,0.88,0.83,687,190,103,97
0,GradientBoostingClassifier,TFIDF,Y,77.99,0.79,0.96,0.87,752,205,88,32
0,GradientBoostingClassifier,TFIDF,R/M,73.54,0.74,0.98,0.84,768,269,24,16
0,GradientBoostingClassifier,TFIDF,N,73.54,0.74,0.98,0.84,769,270,23,15
0,GradientBoostingClassifier,Bigrams,Y,77.25,0.76,0.99,0.86,778,239,54,6
0,GradientBoostingClassifier,Bigrams,R/M,72.79,0.73,1.0,0.84,782,291,2,2
0,GradientBoostingClassifier,Bigrams,N,72.7,0.73,1.0,0.84,782,292,1,2
0,GradientBoostingClassifier,Trigrams,Y,76.97,0.76,0.99,0.86,780,244,49,4
0,GradientBoostingClassifier,Trigrams,R/M,72.89,0.73,1.0,0.84,784,292,1,0
0,GradientBoostingClassifier,Trigrams,N,72.89,0.73,1.0,0.84,784,292,1,0
0,GradientBoostingClassifier,Word2Vec,Y,80.04,0.81,0.95,0.87,743,174,119,41
0,GradientBoostingClassifier,Word2Vec,R/M,75.95,0.78,0.94,0.85,738,213,80,46
0,GradientBoostingClassifier,Word2Vec,N,74.47,0.77,0.93,0.84,730,221,72,54
0,GradientBoostingClassifier,Doc2Vec,Y,80.97,0.82,0.95,0.88,742,163,130,42
0,GradientBoostingClassifier,Doc2Vec,R/M,77.72,0.79,0.94,0.86,735,191,102,49
0,GradientBoostingClassifier,Doc2Vec,N,76.51,0.79,0.92,0.85,724,193,100,60
